Year,Country,NumPub,TopJournal,FracTop
1992.0,IT,21302,11330.0,0.5318749413200639
1992.0,JE,3,2.0,0.6666666666666666
1992.0,JM,128,60.0,0.46875
1992.0,JO,200,105.0,0.525
1992.0,JP,57712,28537.0,0.49447255336845025
1992.0,KE,366,181.0,0.49453551912568305
1992.0,KG,1,1.0,1.0
1992.0,KH,56,16.0,0.2857142857142857
1992.0,KP,3,3.0,1.0
1992.0,KR,2942,1510.0,0.513256288239293
1992.0,KW,161,83.0,0.515527950310559
1992.0,KZ,26,10.0,0.38461538461538464
1992.0,LA,2,0.0,0.0
1992.0,LB,106,44.0,0.41509433962264153
1992.0,LC,2,2.0,1.0
1992.0,LI,7,6.0,0.8571428571428571
1992.0,LK,195,95.0,0.48717948717948717
1992.0,LR,4,3.0,0.75
1992.0,LS,4,3.0,0.75
1992.0,LT,119,77.0,0.6470588235294118
1992.0,LU,56,21.0,0.375
1992.0,LV,243,97.0,0.3991769547325103
1992.0,LY,54,27.0,0.5
1992.0,MA,399,242.0,0.606516290726817
1992.0,MC,11,5.0,0.45454545454545453
1992.0,MD,578,452.0,0.7820069204152249
1992.0,ME,3,2.0,0.6666666666666666
1992.0,MG,25,11.0,0.44
1992.0,MH,1,0.0,0.0
1992.0,MK,44,24.0,0.5454545454545454
1992.0,ML,27,17.0,0.6296296296296297
1992.0,MM,31,14.0,0.45161290322580644
1992.0,MN,23,16.0,0.6956521739130435
1992.0,MO,3,2.0,0.6666666666666666
1992.0,MQ,5,0.0,0.0
1992.0,MR,4,0.0,0.0
1992.0,MT,24,9.0,0.375
1992.0,MU,13,7.0,0.5384615384615384
1992.0,MV,2,2.0,1.0
1992.0,MW,42,17.0,0.40476190476190477
1992.0,MX,2394,972.0,0.40601503759398494
1992.0,MY,513,264.0,0.5146198830409356
1992.0,MZ,66,21.0,0.3181818181818182
1992.0,NC,13,9.0,0.6923076923076923
1992.0,NE,107,81.0,0.7570093457943925
1992.0,NG,1083,396.0,0.3656509695290859
1992.0,NI,2,1.0,0.5
1992.0,NL,11885,8274.0,0.6961716449305848
1992.0,NO,3205,2019.0,0.6299531981279252
1992.0,NP,82,37.0,0.45121951219512196
1992.0,NZ,2226,1514.0,0.6801437556154537
1992.0,OM,58,35.0,0.603448275862069
1992.0,PA,94,32.0,0.3404255319148936
1992.0,PE,318,65.0,0.20440251572327045
1992.0,PF,30,10.0,0.3333333333333333
1992.0,PG,79,26.0,0.3291139240506329
1992.0,PH,858,560.0,0.6526806526806527
1992.0,PK,623,273.0,0.43820224719101125
1992.0,PL,5016,2192.0,0.4370015948963317
1992.0,PR,40,31.0,0.775
1992.0,PS,30,9.0,0.3
1992.0,PT,1099,623.0,0.5668789808917197
1992.0,PW,1,1.0,1.0
1992.0,PY,57,6.0,0.10526315789473684
1992.0,QA,138,78.0,0.5652173913043478
1992.0,RE,41,26.0,0.6341463414634146
1992.0,RO,648,271.0,0.4182098765432099
1992.0,RS,640,343.0,0.5359375
1992.0,RU,6842,4012.0,0.5863782519731073
1992.0,RW,13,6.0,0.46153846153846156
1992.0,SA,1193,633.0,0.5305951383067896
1992.0,SC,2,1.0,0.5
1992.0,SD,105,56.0,0.5333333333333333
1992.0,SE,9550,6570.0,0.6879581151832461
1992.0,SG,1673,891.0,0.5325762104004782
1992.0,SI,533,328.0,0.6153846153846154
1992.0,SK,1416,683.0,0.4823446327683616
