PublicationId,AuthorId,AffiliationId,Year,Date,JournalId,DocType,C10,Ctotal
191060923,2537508914,0.0,1981.0,1981-03-01,0.0,0,0.0,0.0
2012653051,2537508914,32971472.0,1981.0,1981-08-01,47246245.0,j,0.0,0.0
2004890562,2537508914,32971472.0,1981.0,1981-01-01,148561398.0,j,12.0,44.0
1655354386,2537508914,0.0,1982.0,1982-01-01,0.0,b,0.0,0.0
2331881936,2537508914,0.0,1982.0,1982-10-01,145330833.0,j,0.0,1.0
125443235,2537508914,32971472.0,1984.0,1984-01-01,0.0,0,4.0,14.0
2119822514,2537508914,32971472.0,1984.0,1984-01-01,59697426.0,j,1.0,23.0
2012846273,2537508914,40120149.0,1985.0,1985-01-01,45281609.0,j,3.0,3.0
1480800290,2537508914,0.0,1985.0,1985-09-01,5555990.0,j,57.0,85.0
2005614635,2537508914,40120149.0,1985.0,1985-01-01,45281609.0,j,30.0,64.0
1986350198,2537508914,0.0,1986.0,1986-01-01,0.0,b,9.0,26.0
421174974,2537508914,0.0,1986.0,1986-01-01,0.0,b,66.0,527.0
3102831000,2537508914,0.0,1986.0,1986-01-01,0.0,0,0.0,0.0
3107794453,2537508914,0.0,1987.0,1987-06-01,3880285.0,j,0.0,0.0
1969113121,2537508914,40120149.0,1987.0,1987-03-01,2090548.0,j,16.0,28.0
3000132927,2537508914,0.0,1987.0,1987-01-01,200534051.0,j,0.0,0.0
2086803655,2537508914,40120149.0,1987.0,1987-01-01,45281609.0,j,6.0,31.0
3137667025,2537508914,0.0,1987.0,1987-07-01,0.0,0,0.0,0.0
2013336363,2537508914,40120149.0,1987.0,1987-03-01,2090548.0,j,2.0,16.0
2019344292,2537508914,40120149.0,1988.0,1988-03-22,3006207977.0,j,15.0,17.0
2157564575,2537508914,40120149.0,1988.0,1988-02-23,3006207977.0,j,33.0,42.0
2118125494,2537508914,40120149.0,1989.0,1989-02-01,5555990.0,j,32.0,49.0
2401092908,2537508914,0.0,1990.0,1990-04-01,0.0,0,0.0,0.0
2246918188,2537508914,0.0,1991.0,1991-01-01,0.0,0,0.0,0.0
2010782102,2537508914,40120149.0,1991.0,1991-06-01,8802318.0,j,11.0,16.0
2140583341,2537508914,40120149.0,1991.0,1991-01-01,109113098.0,j,4.0,13.0
2018543861,2537508914,40120149.0,1993.0,1993-04-30,81474683.0,j,1.0,1.0
